Time,Time Code,Country Name,Country Code,"International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, receipts (current US$) [ST.INT.RCPT.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, number of departures [ST.INT.DPRT]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]"
2016,YR2016,Afghanistan,AFG,89000000,62000000,..,..,18019554403.4503,34636207
2016,YR2016,Albania,ALB,1338000000,1821000000,4736000,4852000,11861199830.8396,2876101
2016,YR2016,Algeria,DZA,556000000,246000000,2039000,4530000,160034212613.438,40339329
2016,YR2016,American Samoa,ASM,..,22000000,20100.0003814697,..,671000000,50448
2016,YR2016,Andorra,AND,..,..,8025000,..,2896610479.86779,72540
2016,YR2016,Angola,AGO,823000000,628000000,397000,..,49840491178.1518,29154746
2016,YR2016,Antigua and Barbuda,ATG,101000000,844000000,874000,..,1436585185.18519,90564
2016,YR2016,Argentina,ARG,12273000000,5466000000,6668000,18645000,557532317363.451,43590368
2016,YR2016,Armenia,ARM,1033000000,1037000000,1260000,1263000,10546136240.3952,2865835
2016,YR2016,Aruba,ABW,319000000,1757000000,1758000,..,2983798882.68156,104874
2016,YR2016,Australia,AUS,35718000000,39059000000,8269000,10390000,1206562910556.58,24190907
2016,YR2016,Austria,AUT,11634000000,20965000000,28121000,11534000,395837353031.51,8736668
2016,YR2016,Azerbaijan,AZE,2593000000,2855000000,2249000,4282000,37867007022.7844,9757812
2016,YR2016,"Bahamas, The",BHS,440000000,3091000000,6265000,..,11750800000,395976
2016,YR2016,Bahrain,BHR,3267000000,4021000000,10158000,3293000,32234973404.2553,1409661
2016,YR2016,Bangladesh,BGD,843000000,214300003.051758,182000,..,265236389198.948,159784568
2016,YR2016,Barbados,BRB,99000000,1071000000,1227000,..,4832811750,278649
2016,YR2016,Belarus,BLR,891000000,1019000000,10935000,8340000,47723549319.0842,9469379
2016,YR2016,Belgium,BEL,16522000000,8784000000,7481000,13372000,476062757356.94,11331422
2016,YR2016,Belize,BLZ,55000000,..,1391000,..,2258500000,367313
2016,YR2016,Benin,BEN,87000000,129000000,292000,..,11821065852.127,11260085
2016,YR2016,Bermuda,BMU,373000000,440000000,642000,..,6899911000,64554
2016,YR2016,Bhutan,BTN,52000000,139000000,210000,..,2158971717.50418,749761
2016,YR2016,Bolivia,BOL,960000000,827000000,961000,940000,33941126193.9219,11263015
2016,YR2016,Bosnia and Herzegovina,BIH,290000000,875000000,778000,..,17116926092.3905,3480986
2016,YR2016,Botswana,BWA,237100006.103516,505000000,1712000,..,15082636722.856,2352416
2016,YR2016,Brazil,BRA,17068000000,6613000000,6547000,8872000,1795693265824.27,206859578
2016,YR2016,British Virgin Islands,VGB,..,..,408000,..,..,29739
2016,YR2016,Brunei Darussalam,BRN,499000000,144000000,4257000,..,11400467372.4943,425994
2016,YR2016,Bulgaria,BGR,1636000000,4148000000,10604000,5392000,53987487124.3421,7127822
2016,YR2016,Burkina Faso,BFA,176000000,172000000,152000,..,12833363043.9719,19275498
2016,YR2016,Burundi,BDI,..,..,187000,..,2644487777.23693,10903327
2016,YR2016,Cabo Verde,CPV,79000000,397000000,598000,..,1849789992.74328,558394
2016,YR2016,Cambodia,KHM,762000000,3523000000,5012000,1434000,20016747858.3122,15624584
2016,YR2016,Cameroon,CMR,818000000,508000000,994000,..,33814337040.7804,23711630
2016,YR2016,Canada,CAN,..,..,30142000,52979000,1527994741907.43,36109487
2016,YR2016,Cayman Islands,CYM,194000000,708000000,2097000,..,4909322200.00212,62255
2016,YR2016,Central African Republic,CAF,..,..,82000,..,1825018144.46187,4904177
2016,YR2016,Chad,TCD,..,..,98000,56000,10097778097.0969,14592585
2016,YR2016,Channel Islands,CHI,..,..,..,..,9511207129.35458,163721
2016,YR2016,Chile,CHL,2733000000,3744000000,6712000,4269000,249298706449.182,18083879
2016,YR2016,China,CHN,..,..,141774000,135130000,11233314018690.1,1387790000
2016,YR2016,Colombia,COL,4891000000,5631000000,3675000,3795000,282720100286.228,47625955
2016,YR2016,Comoros,COM,38000000,50500000,26799.9992370605,..,1012835492.51585,746232
2016,YR2016,"Congo, Dem. Rep.",COD,60000000,4300000,351000,424000,37134801548.836,81430977
2016,YR2016,"Congo, Rep.",COG,457000000,42900001.5258789,213000,..,10219341017.1383,5186824
2016,YR2016,Costa Rica,CRI,1055000000,3776000000,3204000,1036000,58847019584.9144,4945205
2016,YR2016,Cote d'Ivoire,CIV,491000000,477000000,1583000,..,48407761031.6758,24213622
2016,YR2016,Croatia,HRV,954000000,9215000000,57587000,2581000,52391038979.0338,4174349
2016,YR2016,Cuba,CUB,..,3069000000,4009000,385000,91370000000,11342012
2016,YR2016,Curacao,CUW,428000000,644000000,944000,..,3014748603.35196,159664
2016,YR2016,Cyprus,CYP,1559318481.44531,2870000000,3286000,1268000,21046452117.3765,1197881
2016,YR2016,Czechia,CZE,4962000000,7041000000,32519000,6027000,196272068576.338,10566332
2016,YR2016,Denmark,DNK,9174000000,7494000000,28692000,9651000,313115929314.339,5728010
2016,YR2016,Djibouti,DJI,..,33500000,..,..,2604955228.70117,1023261
2016,YR2016,Dominica,DMA,33000000,198000000,356000,..,576229629.62963,70075
2016,YR2016,Dominican Republic,DOM,882000000,6720000000,6769000,500000,75704647977.2591,10527592
2016,YR2016,Ecuador,ECU,1454000000,1729000000,1569000,1366000,99937696000,16439585
2016,YR2016,"Egypt, Arab Rep.",EGY,4351000000,3306000000,5399000,..,332441717791.411,99784030
2016,YR2016,El Salvador,SLV,451000000,1161000000,2052000,1804000,24191430000,6250510
2016,YR2016,Equatorial Guinea,GNQ,..,..,..,..,11240808846.6924,1398927
2016,YR2016,Eritrea,ERI,..,48000000,142000,..,..,3365287
2016,YR2016,Estonia,EST,1299000000,1911000000,5942000,1339000,24072829276.775,1315790
2016,YR2016,Eswatini,SWZ,33000000,13199999.8092651,1279000,1789000,3816019222.86268,1142524
2016,YR2016,Ethiopia,ETH,461000000,2138000000,871000,..,74296745599.0048,105293228
2016,YR2016,Faroe Islands,FRO,..,..,..,..,2813278761.27524,49500
2016,YR2016,Fiji,FJI,119000000,1149000000,963000,156000,4930213787.50451,918371
2016,YR2016,Finland,FIN,6199000000,4017000000,2789000,10278000,240771351298.84,5495303
2016,YR2016,France,FRA,49029000000,63557000000,203042000,29636000,2472964344587.23,66724104
2016,YR2016,French Polynesia,PYF,226000000,782000000,241000,48000,5497036486.74487,293541
2016,YR2016,Gabon,GAB,..,..,..,..,14023890263.875,2086206
2016,YR2016,"Gambia, The",GMB,7199999.80926514,88000000,450000,..,1484578897.15783,2317206
2016,YR2016,Georgia,GEO,706000000,2315000000,5393000,3400000,15141598622.5692,3727505
2016,YR2016,Germany,DEU,87412000000,52234000000,35555000,90966000,3469853463945.63,82348669
2016,YR2016,Ghana,GHA,1571000000,952000000,..,..,56164933479.4044,29554303
2016,YR2016,Gibraltar,GIB,..,..,..,..,..,32565
2016,YR2016,Greece,GRC,3412000000,16811000000,28071000,7235000,193148146586.938,10775971
2016,YR2016,Greenland,GRL,..,..,..,..,2707146783.13056,56186
2016,YR2016,Grenada,GRD,40000000,437000000,474000,..,1061640740.74074,119966
2016,YR2016,Guam,GUM,..,..,1536000,..,5901000000,168346
2016,YR2016,Guatemala,GTM,1032000000,1202699951.17188,1906000,1195000,66053402744.7267,15827690
2016,YR2016,Guinea,GIN,16299999.2370605,16600000.3814697,63000,..,8595955600.7877,11930985
2016,YR2016,Guinea-Bissau,GNB,..,..,45200.0007629395,..,1179004911.26075,1834552
2016,YR2016,Guyana,GUY,..,..,235000,..,4482697336.56174,759087
2016,YR2016,Haiti,HTI,503000000,511000000,1153000,..,14069277532.4999,10713849
2016,YR2016,Honduras,HND,482000000,585000000,2228000,1121000,21717604580.8627,9460798
2016,YR2016,"Hong Kong SAR, China",HKG,24141000000,37838000000,56655000,91758000,320860317562.562,7336600
2016,YR2016,Hungary,HUN,2738000000,7481000000,52890000,18895000,128609822750.039,9814023
2016,YR2016,Iceland,ISL,..,..,1891000,536000,20793168030.9524,335439
2016,YR2016,India,IND,19184000000,23111000000,14570000,21872000,2294796889945.04,1338636340
2016,YR2016,Indonesia,IDN,9932000000,12566000000,11519000,8340000,931877364033.902,261850182
2016,YR2016,"Iran, Islamic Rep.",IRN,11142000000,4634000000,4942000,9007000,457954614595.24,83306231
2016,YR2016,Iraq,IRQ,7647000000,3120000000,..,..,166602488747.885,38697943
2016,YR2016,Ireland,IRL,6234000000,12649000000,10100000,7646000,299091127524.513,4755335
2016,YR2016,Isle of Man,IMN,..,..,..,..,6846373276.62067,83450
2016,YR2016,Israel,ISR,8210000000,6616000000,3070000,6781000,322102790386.835,8546000
2016,YR2016,Italy,ITA,30584000000,42423000000,84925000,57480000,1877071687633.83,60627498
2016,YR2016,Jamaica,JAM,413000000,..,3837000,..,14077105502.9175,2802695
2016,YR2016,Japan,JPN,25968000000,33456000000,24039000,17116000,5003677627544.24,127076000
2016,YR2016,Jordan,JOR,1367000000,4943000000,4236000,1511000,39892551126.7606,9964656
2016,YR2016,Kazakhstan,KAZ,2580000000,2038000000,6509000,9756000,137278320084.171,17794055
2016,YR2016,Kenya,KEN,..,1472000000,1340000,..,74815143796.3978,47894670
2016,YR2016,Kiribati,KIR,..,..,7599.99990463257,..,178507958.050329,118513
2016,YR2016,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,25389611
2016,YR2016,"Korea, Rep.",KOR,29817000000,20924000000,17242000,22383000,1500111596236.37,51217803
2016,YR2016,Kosovo,XKX,..,..,..,..,6682674062.9615,1777557
2016,YR2016,Kuwait,KWT,13232000000,831000000,7055000,..,109406169162.833,4048085
2016,YR2016,Kyrgyz Republic,KGZ,582000000,477000000,3853000,4185000,6813095396.14317,6079500
2016,YR2016,Lao PDR,LAO,912099975.585938,717000000,4239000,3059000,15912495368.8717,6891363
2016,YR2016,Latvia,LVA,..,..,6797000,1939000,28083597512.4849,1959537
2016,YR2016,Lebanon,LBN,5252000000,7373000000,1688000,..,51147308773.9304,6258619
2016,YR2016,Lesotho,LSO,262000000,..,1196000,..,2114426468.65681,2143872
2016,YR2016,Liberia,LBR,..,..,..,..,3398419600,4706097
2016,YR2016,Libya,LBY,813000000,..,..,..,49912085228.3487,6282196
2016,YR2016,Liechtenstein,LIE,..,..,69099.9984741211,..,6237299538.02934,37609
2016,YR2016,Lithuania,LTU,..,..,5322000,4143000,43047309305.7375,2868231
2016,YR2016,Luxembourg,LUX,2048000000,5606000000,1054000,1588000,62216885435.9505,582014
2016,YR2016,"Macao SAR, China",MAC,1500000000,31155000000,30950000,1251000,45070807279.6288,626688
2016,YR2016,Madagascar,MDG,300000000,912000000,333000,..,11848613859.5279,25501941
2016,YR2016,Malawi,MWI,100000000,30000000,849000,..,7909868618.46366,17405624
2016,YR2016,Malaysia,MYS,11339000000,19682000000,26757000,..,301255332137.075,31526418
2016,YR2016,Maldives,MDV,347000000,2640000000,1286000,..,4379134272.943,454252
2016,YR2016,Mali,MLI,213000000,201600006.103516,173000,..,14026048334.2131,18700106
2016,YR2016,Malta,MLT,..,..,2592000,550000,11667976402.763,455356
2016,YR2016,Marshall Islands,MHL,27000000,30399999.6185303,5400.00009536743,..,200716000,48329
2016,YR2016,Mauritania,MRT,74000000,33000000,..,..,6398741855.76276,4051890
2016,YR2016,Mauritius,MUS,683000000,1824000000,1307000,260000,12594155346.298,1263747
2016,YR2016,Mexico,MEX,12823000000,20619000000,94853000,97372000,1078493059306.95,121519221
2016,YR2016,"Micronesia, Fed. Sts.",FSM,..,..,29600.0003814697,..,332265200,109925
2016,YR2016,Moldova,MDA,334000000,344000000,121000,177000,7982450758.03213,2803186
2016,YR2016,Monaco,MCO,..,..,336000,..,6472837332.95721,37071
2016,YR2016,Mongolia,MNG,536000000,379000000,471000,..,11181350649.2247,3029555
2016,YR2016,Montenegro,MNE,91000000,978000000,1662000,..,4376929571.63114,622303
2016,YR2016,Morocco,MAR,2312000000,7922000000,10677000,1864000,111572946646.535,35107264
2016,YR2016,Mozambique,MOZ,290000000,114000000,1715000,..,11936993086.9579,27696493
2016,YR2016,Myanmar,MMR,201000000,2289000000,2907000,..,60291738934.7768,51892349
2016,YR2016,Namibia,NAM,82000000,295000000,1551000,..,10722018975.0783,2323352
2016,YR2016,Nauru,NRU,10000000,3400000,..,..,97541914.5833045,11437
2016,YR2016,Nepal,NPL,634000000,498000000,753000,..,24524109484.7453,27861186
2016,YR2016,Netherlands,NLD,20188800781.25,19421800781.25,15828000,18152000,784060430240.101,17030314
2016,YR2016,New Caledonia,NCL,252000000,248000000,116000,134000,8724568970.67697,270220
2016,YR2016,New Zealand,NZL,4010000000,9773000000,3494000,2611000,188838342527.975,4714100
2016,YR2016,Nicaragua,NIC,310000000,..,1596000,981000,13286066154.9603,6389235
2016,YR2016,Niger,NER,110000000,84000000,152000,..,10398861980.6524,20921743
2016,YR2016,Nigeria,NGA,4524000000,1088000000,5265000,..,404649048648.026,188666931
2016,YR2016,North Macedonia,MKD,204000000,283000000,510000,..,10672467073.2873,2072490
2016,YR2016,Northern Mariana Islands,MNP,..,..,531000,..,1230000000,51133
2016,YR2016,Norway,NOR,16384000000,6285000000,5960000,8030000,370956547619.048,5234519
2016,YR2016,Oman,OMN,2643000000,2324000000,3207000,5902000,75128738621.5865,4398070
2016,YR2016,Pakistan,PAK,2931000000,790000000,..,..,313629998960.445,213524840
2016,YR2016,Palau,PLW,23799999.2370605,148000000,138000,..,298300000,17816
2016,YR2016,Panama,PAN,1351000000,6283000000,2379000,1051000,57907700000,4026336
2016,YR2016,Papua New Guinea,PNG,126599998.474121,1600000.02384186,198000,..,20758874952.5805,8899169
2016,YR2016,Paraguay,PRY,512000000,356000000,4318000,1503000,36089550671.834,6266615
2016,YR2016,Peru,PER,2700000000,4288000000,4718000,2751000,191898127860.843,31132779
2016,YR2016,Philippines,PHL,11681000000,6289000000,5967000,5703000,318627003965.989,104875266
2016,YR2016,Poland,POL,8509000000,11922000000,80476000,44500000,470024559638.496,37970087
2016,YR2016,Portugal,PRT,4707000000,17347000000,13359000,1941000,206426152308.937,10325452
2016,YR2016,Puerto Rico,PRI,1059000000,3974000000,5003000,789000,104336700000,3406672
2016,YR2016,Qatar,QAT,13152000000,12593000000,2938000,..,151732181868.132,2595166
2016,YR2016,Romania,ROU,2910000000,2474000000,10223000,16128000,185287615324.922,19702267
2016,YR2016,Russian Federation,RUS,27654000000,12822000000,24571000,31659000,1276786344534.27,144342397
2016,YR2016,Rwanda,RWA,364000000,443000000,1377000,..,8695318854.11055,11930899
2016,YR2016,Samoa,WSM,2099999.90463257,148699996.948242,146000,..,843924750.673535,205544
2016,YR2016,San Marino,SMR,..,..,2000000,..,1468342430.68836,33834
2016,YR2016,Sao Tome and Principe,STP,..,69100000,28899.9996185303,..,345495614.979982,204632
2016,YR2016,Saudi Arabia,SAU,17671000000,13438000000,20887000,27618000,665999879694.192,33416270
2016,YR2016,Senegal,SEN,277000000,439000000,1219000,..,19040312331.1615,14751356
2016,YR2016,Serbia,SRB,1351000000,1461000000,1281000,..,40692661657.284,7058322
2016,YR2016,Seychelles,SYC,92000000,505000000,333000,68000,1458954109.81959,94677
2016,YR2016,Sierra Leone,SLE,36500000,41000000,60000,92000,3862721204.61052,7493913
2016,YR2016,Singapore,SGP,23957000000,18944000000,16403000,9474000,319029973659.293,5607283
2016,YR2016,Sint Maarten (Dutch part),SXM,114000000,871000000,2197000,..,1263687150.83799,39969
2016,YR2016,Slovak Republic,SVK,2420000000,2812000000,17376000,3095000,89952699524.8965,5430798
2016,YR2016,Slovenia,SVN,1483800048.82813,2717899902.34375,3397000,5408000,44766722790.5838,2065042
2016,YR2016,Solomon Islands,SLB,74900001.5258789,71000000,23200.0007629395,..,1379490315.02286,628102
2016,YR2016,Somalia,SOM,..,..,..,..,5534000000,14292847
2016,YR2016,South Africa,ZAF,5354000000,8807000000,15121000,..,323585509674.481,56422274
2016,YR2016,South Sudan,SSD,323000000,23500000,..,..,..,11066105
2016,YR2016,Spain,ESP,..,..,115561000,18277000,1233554967011.71,46484062
2016,YR2016,Sri Lanka,LKA,2295000000,4591000000,2168000,1448000,88012281909.7522,21425494
2016,YR2016,St. Kitts and Nevis,KNA,51000000,332000000,1055000,..,1008100000,47788
2016,YR2016,St. Lucia,LCA,78000000,776000000,948000,..,1865444444.44444,176413
2016,YR2016,St. Martin (French part),MAF,..,..,..,..,..,34811
2016,YR2016,St. Vincent and the Grenadines,VCT,41000000,221300003.051758,227000,..,814302267.073348,105963
2016,YR2016,Sudan,SDN,203000000,1009000000,800000,..,102943515502.994,39377169
2016,YR2016,Suriname,SUR,112000000,74000000,257000,..,3317421499.77314,581453
2016,YR2016,Sweden,SWE,..,..,6782000,..,515654671469.547,9923085
2016,YR2016,Switzerland,CHE,19941000000,19787000000,10402000,21536000,687895460902.713,8373338
2016,YR2016,Syrian Arab Republic,SYR,..,..,1043000,..,12598742886.9368,18964252
2016,YR2016,Tajikistan,TJK,24600000.3814697,149600006.103516,344000,22000,6992416096.89018,8725318
2016,YR2016,Tanzania,TZA,992000000,2149000000,1284000,..,49774004999.2038,54401802
2016,YR2016,Thailand,THA,11267000000,48459000000,32530000,8204000,413366345843.744,70607037
2016,YR2016,Timor-Leste,TLS,118000000,58000000,65599.9984741211,..,1650619400,1224562
2016,YR2016,Togo,TGO,55000000,223000000,338000,191000,6031632014.86013,7661354
2016,YR2016,Tonga,TON,23799999.2370605,52700000.7629395,86699.9969482422,..,420548768.072805,105707
2016,YR2016,Trinidad and Tobago,TTO,230000000,708000000,492000,..,23496215880.5212,1469330
2016,YR2016,Tunisia,TUN,823000000,1706000000,5724000,1830000,44360065796.6202,11685667
2016,YR2016,Turkiye,TUR,5698000000,26505000000,30907000,7892000,869682954136.208,81019394
2016,YR2016,Turkmenistan,TKM,..,..,..,..,36169428571.4286,5868561
2016,YR2016,Turks and Caicos Islands,TCA,..,..,1296000,..,1032452000,38246
2016,YR2016,Tuvalu,TUV,11399999.6185303,..,2500,..,41629064.9653416,10852
2016,YR2016,Uganda,UGA,309000000,1118000000,1323000,568000,29203988697.459,38748299
2016,YR2016,Ukraine,UKR,6306000000,1723000000,13734000,25226000,93355868977.6619,45004673
2016,YR2016,United Arab Emirates,ARE,17127259765.625,28657400390.625,20894000,18728000,369255326235.534,8994263
2016,YR2016,United Kingdom,GBR,..,..,39129000,81757000,2699659680997.2,65611593
2016,YR2016,United States,USA,147640000000,228549000000,175261484.375,141526000,18695110842000,323071755
2016,YR2016,Uruguay,URY,1079000000,2396000000,3632000,1715000,57480788380.312,3413766
2016,YR2016,Uzbekistan,UZB,1832000000,579000000,2027000,3848000,86138288633.2241,31847900
2016,YR2016,Vanuatu,VUT,28000000,275000000,351600.006103516,20299.9992370605,780889605.899977,283218
2016,YR2016,"Venezuela, RB",VEN,2920000000,546000000,681000,1530000,..,30741464
2016,YR2016,Vietnam,VNM,4500000000,8500000000,10013000,..,257096001174.075,93126529
2016,YR2016,Virgin Islands (U.S.),VIR,..,1343000000,2574000,..,3798000000,107516
2016,YR2016,West Bank and Gaza,PSE,620000000,235000000,400000,..,15405400000,4367088
2016,YR2016,"Yemen, Rep.",YEM,56000000,116000000,..,..,31317824906.4358,29274002
2016,YR2016,Zambia,ZMB,423000000,..,956000,..,20958412538.3093,16767761
2016,YR2016,Zimbabwe,ZWE,406000000,194000000,2168000,3192000,20548678100,14452704
2017,YR2017,Afghanistan,AFG,130000000,16000000,..,..,18896353155.8839,35643418
2017,YR2017,Albania,ALB,1473000000,2050000000,5118000,5186000,13019726211.7369,2873457
2017,YR2017,Algeria,DZA,632000000,171000000,2451000,5058000,170096989042.831,41136546
2017,YR2017,American Samoa,ASM,..,22000000,20000,..,612000000,49463
2017,YR2017,Andorra,AND,..,..,8152000,..,3000162081.22356,73837
2017,YR2017,Angola,AGO,1216000000,884000000,261000,..,68972769395.6274,30208628
2017,YR2017,Antigua and Barbuda,ATG,106000000,820000000,1040000,..,1467955555.55556,91119
2017,YR2017,Argentina,ARG,14180000000,5830000000,6711000,21583000,643628396190.388,44044811
2017,YR2017,Armenia,ARM,1218000000,1224000000,1495000,1482000,11527458712.6187,2851923
2017,YR2017,Aruba,ABW,349000000,1855000000,1863000,..,3092178770.94972,105439
2017,YR2017,Australia,AUS,39710000000,43975000000,8815000,10932000,1326467487376.42,24594202
2017,YR2017,Austria,AUT,12878000000,22424000000,29460000,11491000,417261151844.981,8797566
2017,YR2017,Azerbaijan,AZE,2803000000,3214000000,2697000,4109000,40866632047.8414,9854033
2017,YR2017,"Bahamas, The",BHS,554000000,2951000000,6136000,..,12253500000,399020
2017,YR2017,Bahrain,BHR,3178000000,4380000000,11374000,3136000,35473776595.7447,1456834
2017,YR2017,Bangladesh,BGD,1127000000,348000000,237000,..,293754769935.148,161793964
2017,YR2017,Barbados,BRB,..,..,1345000,..,4981588900,279187
2017,YR2017,Belarus,BLR,1082000000,1124500000,11060000,9209000,54725311690.0478,9458989
2017,YR2017,Belgium,BEL,17835000000,9636000000,8385000,12142000,502764720556.358,11375158
2017,YR2017,Belize,BLZ,53000000,..,1441000,..,2286000000,374693
2017,YR2017,Benin,BEN,148000000,160000000,307000,..,12701655845.9622,11596779
2017,YR2017,Bermuda,BMU,369000000,513000000,688000,..,7142316000,63873
2017,YR2017,Bhutan,BTN,63000000,153000000,255000,..,2450366107.88229,756121
2017,YR2017,Bolivia,BOL,997000000,928000000,1109000,997000,37508642170.767,11435533
2017,YR2017,Bosnia and Herzegovina,BIH,346000000,984000000,923000,..,18326376394.0796,3440027
2017,YR2017,Botswana,BWA,253300003.051758,542010009.765625,1775000,..,16105156375.5848,2401840
2017,YR2017,Brazil,BRA,22991000000,6175000000,6589000,10610000,2063514688761.67,208504960
2017,YR2017,British Virgin Islands,VGB,..,..,335000,..,..,30060
2017,YR2017,Brunei Darussalam,BRN,504000000,177000000,4316000,..,12128182463.596,430276
2017,YR2017,Bulgaria,BGR,2047000000,4663000000,11596000,6228000,59343060705.828,7075947
2017,YR2017,Burkina Faso,BFA,182000000,172000000,143000,..,14106955625.3571,19835858
2017,YR2017,Burundi,BDI,..,..,299000,..,2723586962.18686,11155593
2017,YR2017,Cabo Verde,CPV,100000000,451000000,668000,..,1996741544.61549,564954
2017,YR2017,Cambodia,KHM,919000000,4024000000,5602000,1752000,22177200588.6749,15830689
2017,YR2017,Cameroon,CMR,845000000,544000000,1081000,..,36098547058.7877,24393181
2017,YR2017,Canada,CAN,..,..,31081000,54955000,1649265644244.09,36545236
2017,YR2017,Cayman Islands,CYM,271000000,832000000,2147000,..,5166281293.18715,63581
2017,YR2017,Central African Republic,CAF,..,..,107000,..,2072349974.15272,4996741
2017,YR2017,Chad,TCD,..,..,87000,52000,10000394388.1158,15085884
2017,YR2017,Channel Islands,CHI,..,..,..,..,9530244530.24453,165215
2017,YR2017,Chile,CHL,3093000000,4115000000,7621000,4367000,276364936832.331,18368577
2017,YR2017,China,CHN,..,..,153260000,143035000,12310491176727.3,1396215000
2017,YR2017,Colombia,COL,5136000000,5899000000,4056000,4017000,311866875135.576,48351671
2017,YR2017,Comoros,COM,42000000,60599998.4741211,28000,..,1077439756.12224,761664
2017,YR2017,"Congo, Dem. Rep.",COD,68000000,6000000,..,..,38019264804.5125,84283273
2017,YR2017,"Congo, Rep.",COG,..,..,151000,..,11094823676.5914,5312340
